메인재료	부재료 1	부재료 2	부재료 3	조리방식	재료 수량	음식 수량	대사 ( 한국어 )	대사 ( 영어 )	다시 물어보기 1 ( 한국어 )	다시 물어보기 1 ( 영어 )	다시 물어보기 2 ( 한국어 )	다시 물어보기 2 ( 영어 )
밥	방부제	없음	없음	끓기	6	1	"그냥 방부제 죽 주세요."	"Just give me some preservative porridge."	"작은 여러 알갱이가 들어간 방부제 죽 주세요."	"Please give me preservative porridge with several small grains."	"오래 먹을 수 있게 방부제를 넣고 끓인 밥 주세요."	"Please give me rice bradioactive oiled with preservatives so that I can eat it for a long time."
밥	똥	없음	없음	끓기	6	1	"낱개에 여러 개로 웃는 묽은 똥에 대해 들어보셨나요? 히히..."	"Have you heard of the dilute poop that laughs in multiple pieces in a single dog? "Hehe..."	"어제 화장실에서 봤던 낱개로 여러개 있는 끓인 똥 하나 주세요."	"I'd like to have a single bradioactive oiled poop that I saw in the bathroom yesterday."	"끓인 밥처럼 여러 알갱이로 흩어져 있는 똥 하나 주세요."	"Please give me a bunny rice that are scattered like rice."
밥	똥	없음	없음	끓기	6	1	"땡큐 베리 풉…죽"	"Thank you very water poop…rice"	"죽을 만들어 주신다면 땡큐 베리 풉.."	"If you make porridge, thank you very pub.."	"똥을 넣고 끓인 밥을 만들어 주시면 너무 감사하죠"	"I'd appreciate it if you made rice with poop in it."
밥	똥	없음	없음	끓기	6	1	"어제 화장실에 봤던 죽과 흡사한 거 주세요."	"Please give me something similar to the porridge I saw in the bathroom yesterday."	"아직도 생생해요. 낱개로 여러개 뭉쳐있는 끓인 똥이였어요."	"It's still vivid. It was a bradioactive oiled poop that was lumped together individually."	"끓인 밥처럼 여러 알갱이로 흩어진 똥이었어요."	"It was a poop scattered into many grains like bradioactive oiled rice."
밥	똥	없음	없음	끓기	6	2	"끓인 똥 죽 냄새를 맡고 두 개의 행성을 빠르게 달려왔어요."	"I smelled the bradioactive oiled porridge and ran quickly across two planets."	"끓인 밥처럼 여러 알갱이로 이루어진 똥 냄새를 맡고 두 개의 행성을 빠르게 달려왔어요."	"I smelled poop made of grains like bradioactive oiled rice and ran quickly across two planets."	"맞아요. 똥을 넣고 끓인 밥 2개 주세요."	"That's right. Give me two rice bradioactive oiled with poop."
밥	똥	없음	없음	끓기	6	2	"똥똥 죽"	"PoopPoop Porridge."	"더블 똥 죽"	"Double poop porridge"	"똥 밥 끓여서 2개"	"I'll have 2 bowls of rice balls
밥	종이	없음	없음	끓기	6	1	"페이퍼 죽이 들어간 음식은 몇 달러 페이퍼?"	"How many dollars is the food with paper porridge?"	"종이가 들어간 죽은 얼마일까요?"	"How much is the porridge with paper in it?"	"저렴한 종이 밥 하나 끓여 주세요."	"Please cook me a cheap piece of paper rice."
밥	종이	없음	없음	끓기	6	1	"파피루스 죽 하나요."	"One papyrus porridge?"	"고대 이집트에서 파피루스의 줄기로 만든 그 종이를 넣은 죽 하나 주세요."	"Give me a porridge containing that paper made of the stems of papyrus in ancient Egypt."	"네, 종이면 좋으니 끓인 밥에 넣어주세요."	"Yes, paper would be good, so please put it in the bradioactive oiled rice."
밥	종이	없음	없음	끓기	6	1	"요나하 죽 이종"	"Eno Egdirrop Repap"	"요나하 죽 종이"	"Eno Porridge Paper"	"하나요 죽 종이"	"One.Prridge.Paper"
밥	종이	없음	없음	끓기	6	1	"묽은 종이 밥.. 제 눈으로 확인해 봐야겠어요"	"A thin piece of paper rice.. I'll have to check with my own eyes."	"신기하죠. 종이 죽이라는 음식이 실제로 있는 줄 몰랐어요."	"It's amazing. I didn't know there was a food called paper porridge."	"네, 종이 그리고 끓인 밥. 주세요."	"Yes, paper and bradioactive oiled rice. Please."
밥	종이	없음	없음	끓기	6	1	"종이를 빵에 넣어 먹어도 봤고, 밥에 넣어 끓여 먹으면?"	"I've seen you eat paper in bread. What if you bradioactive oil it in rice?"	"빵은 제 입맛이 아니였어요. 죽에 넣어 먹으면 어떤 맛이 느껴질지 궁금해요."	"Bread was not my cup of tea. I wonder how it will taste if you put it in porridge."	"끓여놓은 밥에 종이를 제외하고 다 빼주세요."	"Please remove all but paper from the bradioactive oiled rice."
밥	너트	없음	없음	끓기	6	1	"너트와 돈을 넣은 죽이요. 아, 돈은 빼주세요."	"A porridge with nuts and money. Oh, take out the money."	"너트는 먹을 수 있지만 돈은 도저히 못 먹겠어요."	"I can eat nuts, but I can't afford it."	"네, 너트를 넣고 끓인 밥 주세요."	"Yes, I'd like rice bradioactive oiled with nuts."
밥	너트	없음	없음	끓기	6	1	"ㅇㄴㅅ ㅈ ㅎㄴㅇ"	"N.P.O"	"ㅇㄴㅅ 죽 하나요."	"N.Porridge.One"	"암나사 죽 하나요"	"Nut.Porridge.One"
밥	너트	없음	없음	끓기	6	1	"암나사 죽 하나요"	"Does a female screw die?"	"너트 죽 하나요."	"Do you have a piece of nut porridge	"네, 너트 그리고 끓인 밥. 주세요."	"Yes, nuts and bradioactive oiled rice. Please."
밥	너트	없음	없음	끓기	6	2	"데친 쇠 죽 냄새를 맡고 두 개의 행성을 빠르게 달려왔어요."	"I smelled the blanched iron porridge and ran fast across two planets."	"고철을 넣은 죽 냄새를 맡고 두 개의 행성을 빠르게 달려왔어요."	"I smelled porridge with scrap metal and ran fast across two planets."	"맞아요. 너트를 넣고 끓인 밥 2개 주세요."	"That's right. Give me two bradioactive oiled rice with nuts."
밥	너트	없음	없음	끓기	6	1	"저기 저 너트 죽이 맛있을 것 같아요."	"That nut porridge over there looks delicious."	"맛있죠, 너트를 넣은 죽."	"Delicious, porridge with nuts."	"맞아요. 너트 그리고 끓인 밥"	"That's right. Nut and bradioactive oiled rice
밥	돈	없음	없음	끓기	6	1	"작은 여러 알갱이로 끓인 행복을 돈으로 살 수 없다면 혹시 돈이 모자란건 아닌지 확인해봐."	"If you can't buy happiness bradioactive oiled with several small grains, check if you don't have enough money."	"죽에 돈을 넣는 것은 행복을 얻는 방법 중 하나야."	"Putting money in porridge is one of the ways to get happiness."	"맞아. 끓인 돈과 밥."	"That's right. Bradioactive oiled money and rice."
밥	돈	없음	없음	끓기	6	1	"저희 할머니는 죽을 좋아해요."	"My grandmother loves porridge."	"저희 할아버지는 죽을 싫어하세요."	"My grandfather hates porridge."	"돈을 영어로 하면?"	"How do you say money in English?"
밥	돈	없음	없음	끓기	6	1	"제 죽을 특별하게 만들어줄 멋진 캐시가..."	"A wonderful cache that will make my porridge special..."	"돈이 있다면 내 죽은 특별해!"	"My death is special if I have money!"	"끓인 밥에 돈을 넣으면 특별해."	"It's special if you put money in bradioactive oiled rice."
밥	돈	없음	없음	끓기	6	1	"종이 비슷한 묽은 밥 하나 주세요."	"I'd like a thin rice that looks like paper."	"기억은 않나지만 종이 비슷한거 넣어줘."	"I don't remember, but please put something similar to paper."	"맞아, 돈을 넣고 끓인 밥 하나 만들어줘"	"Right, please cook rice with money"
밥	돈	없음	없음	끓기	6	1	"낱개로 여러 개 있는 젖은 돈은 항상 옳다!"	"A wet money with multiple pieces as a single dog is always right!"	"낱개로 된 여러 알갱이가 전부 끓여져 있으면 좋아요. 음식도.재료도..."	"It's good if all the grains of the single dog are bradioactive oiled. Food. Ingredients..."	"끓인 밥과 돈의 조화는 아름답죠."	"The combination of bradioactive oiled rice and money is beautiful."
밥	보석	없음	없음	끓기	6	1	"여기서 제일 비싼 죽 하나 주세요."	"Give me the most expensive porridge here."	"돈 보다 더 비싼것이 있다면 죽에 넣어줘."	"If there's anything more expensive than money, put it in porridge."	"맞아, 보석을 넣고 끓인 밥 하나 만들어주세요."	"Yes, please make me a rice bradioactive oiled with jewels."
밥	보석	없음	없음	끓기	6	1	"주얼리한 죽 주세요."	"Give me a porridge of jewelry."	"귀금속 죽 주세요."	"Give me precious metal porridge."	"네, 보석 그리고 끓인 밥"	"Yes, jewelry and bradioactive oiled rice"
밥	보석	없음	없음	끓기	6	1	"죽 위에 보석을 토핑으로 올리는 거 좀 이상한가요?"	"Is it strange to put jewels on the porridge as toppings?"	"죽 위에 보석을 올려 먹으면 맛이 이상해요."	"It tastes weird when you eat jewelry on top of porridge."	"이상하죠. 끓인 밥과 보석의 조합."	"Strange. A combination of bradioactive oiled rice and jewels."
밥	보석	없음	없음	끓기	6	1	"보석을 빵에 넣어 끓여먹어도 봤고, 밥에도… 끓여 먹으면?"	"I've tried bradioactive oiling jewelry in bread, and in rice..." If you bradioactive oil it and eat it	"죽에 보석을 올려 먹으면 무슨 맛일지 궁금해요."	"I wonder what it would taste like to eat jewelry on porridge."	"네, 이번에는 끓인 밥 위에 보석을 올려주세요."	"Yes, this time place the jewels on the bradioactive oiled rice."
밥	보석	없음	없음	끓기	6	1	"보석 죽을 파신다고요? 보석 캔디는 들어봤는데.."	"Are you selling jewelry porridge?" I've heard of jewelry candy.."	"어릴적 추억을 비슷하게라도 느끼고 싶어요."	"I want to feel similar childhood memories."	"네, 맞아요. 끓인 보석을 넣고 밥을 먹는다면, 그 추억을 느낄 수 있지 않을까요?"	"Yes, that's right. If you eat rice with bradioactive oiled jewels, wouldn't you feel the memory?"
밥	털 뭉치	없음	없음	끓기	6	1	"저는 낱개로 여러 개의 털이 많이 달린 묽은 생물이 좋아요."	"I like watery creatures with a lot of hair on themselves."	"저는 낱개로 여러 개의 털이 많이 달린 끓여진 생물이 좋아요."	"I like bradioactive oiled creatures with a lot of hair on them individually."	"저는 끓인 밥처럼 여러 알갱이로 흩어지며, 털이 많이 달린 생물이 좋아요."	"I like creatures that are scattered into many grains like bradioactive oiled rice, and with a lot of hair."
밥	털 뭉치	없음	없음	끓기	6	1	"낱개로 여러 개인 묽은 털이 뭉치면 묽은 긴 털 뭉치"	"A bunch of thin hair, which is a single dog, is a bunch of long thin hair"	"낱개로 여러 개인 털이 뭉치면 죽처럼 보이죠."	"When several individual hairs stick together as a single dog, they look like porridge."	"네, 그렇게 해주세요. 끓인 밥처럼 여러 알갱이가 뭉친 털 뭉치처럼요."	"Yes, please do. Like bradioactive oiled rice, like a lump of hair with several grains."
밥	털 뭉치	없음	없음	끓기	6	1	"어제 티비에서 봤던 복슬복슬한 죽..."	"The fluffy porridge I saw on TV yesterday..."	"티비로 봤는데 아직도 생생해요. 복슬복슬한게 엄청 부드러워 보였어요."	"I watched it on TV and it's still vivid. The fluffy one looked so soft."	"하지만 저희는 그것을 '모피 죽'이라고 부르기로 했어요."	"But we decided to call it 'fur porridge'."
밥	털 뭉치	없음	없음	끓기	6	1	"저기 저 낱개에 여러개로 달려있는 묽은 털이 맛있을 것 같아요."	"I think the thin hairs on each of those individuals will be delicious."	"저기 저 싱싱해 보이는 낱개로 여러 개 된 털을 끓이는게 맛있을 것 같아요."	"Look, I think it would be delicious to bradioactive oil several hairs that look fresh."	"저기 저 끓여 놓은 털 밥이 맛있을 것 같아요."	"I think that bradioactive oiled rice looks delicious."
밥	털 뭉치	없음	없음	끓기	6	1	"그냥 털 죽 하나 주세요."	"Just one furry porridge, please."	"네, 털 죽 하나 맞아요."	"Yes, one furry porridge is correct."	"네, 그거요. 끓여놓은 털 밥 하나 맞아요.	"Yes, that one. It's just one bradioactive oiled rice.
밥	눈알	없음	없음	끓기	6	1	"저기 저 옆 행성 밥집 사장님 너무 멋있지 않아요? 뜨거운 열기 속 열심히 일하시는 눈이 멋있는 것 같아요."	"Isn't the restaurant owner on the next planet so cool? I think your eyes are cool when you work hard in the hot heat."	"밥집 사장님의 눈은 다시 봐도 멋있는 것 같아요."	"I think the restaurant owner's eyes are cool even if I look at them again."	"멋있긴 하죠. 하지만 끓인 밥과 같이 먹으면 별미죠..."	"It's cool. But it's a delicacy if you eat it with bradioactive oiled rice..."
밥	눈알	없음	없음	끓기	6	1	"데친 눈알 먹어보셨나요? 저는 낱개로 여러 개의 눈이 맛있더라구요."	"Have you tried eyeballs?" I liked several eyes individually."	"낱개로 여러 개의 눈알을 끓여 먹어보셨나요? 이게 또 별미예요."	"Have you ever bradioactive oiled several eyeballs with a single dog? This is also a delicacy."	"네, 맞아요. 끓인 밥 그리고 눈알"	"Yes, that's right. Bradioactive oiled rice and eyeballs
밥	눈알	없음	없음	끓기	6	1	"저기 저 눈알이 맛있을 것 같은데, 눈알 죽 하나 주세요."	"That eyeball looks delicious, please give me a bowl of rice with eyeball."	"먹어보시는 것을 추천할게요. 그러니까 눈알 죽 하나 주세요."	"I recommend you try it. So please give me an eyeball porridge."	"네, 끓인 눈알과 밥 이렇게 주세요."	"Yes, I'd like to have bradioactive oiled eyeballs and rice."
밥	눈알	없음	없음	끓기	6	1	"ㄴㅇ ㅈ ㅎㄴㅇ"	"E.R.O"	"ㄴㅇ 죽 하나요."	"E.Porridge.One"	"끓인 눈알 밥 하나요."	"Eyeballs.Porridge.One"
밥	눈알	없음	없음	끓기	6	1	"저희 아이가 먹을 죽 하나 주세요."	"Give my child a meal to eat."	"사람의 눈을 영어로 하면 뭘까요?"	"What should I do in English?"	"그러니까 아이가 먹을 끓인 밥 하나 주세요."	"So please give me a bradioactive oiled rice for the child to eat."
밥	비스무트	없음	없음	끓기	6	1	"위장 장애를 치료할 수 있는 죽 주세요."	"Please give me a bowl of rice that can cure gastrointestinal disorders."	"한국어로 '창연'이라 부르기도 하는데 먹으면 위장장애를 치료할 수 있데요."	"It is sometimes called 'Changyeon' in Korean, but eating it can cure gastrointestinal disorders."	"네, 맞아요. 외계에서 온 광물이라 불리는 비스무트를 밥에 넣어 끓여 주세요."	"Yes, that's right. Bradioactive oil bismuth, called a mineral from outer space, in rice."
밥	비스무트	없음	없음	끓기	6	1	"녹은 죽 주세요."	"Please give me melted rice."	"녹는점이 271.4 °C인 죽 주세요."	"Please give me porridge with a melting point of 271.4 °C."	"네, 밥에 비스무트를 올려서 끓여 주세요."	"Yes, please put bismuth on the rice and bradioactive oil it to a bradioactive oil."
밥	비스무트	없음	없음	끓기	6	1	"끓는점을 1,564°C까지 올린 죽 하나 주세요."	"I'd like a bowl of rice with a bradioactive oiling point up to 1,564°C."	"비스무트를 1,564°C까지 올린 죽 하나 주세요."	"I'd like a porridge with bismuth up to 1,564°C."	"맞아요. 비스무트와 끓인 밥 이렇게 주세요."	"That's right. Bismuth and bradioactive oiled rice, please."
밥	비스무트	없음	없음	끓기	6	1	"83번째 죽 하나 주세요."	"One 83rd bowl of rice, please."	"비스무트는 원자번호가 83번이예요."	"Bismuth has an atomic number of 83."	"비스무트를 넣고 끓인 밥 하나요."	"One bradioactive oiled rice with bismuth, please."
밥	비스무트	없음	없음	끓기	6	1	"독성이 없는 금속 죽 주세요."	"I'd like a non-toxic metal bowl."	"다른말로는 '안전한 중금속'이라고 부르기도 해요."	"In other words, it's called 'safe heavy metals'."	"맞아요. 비스무트를 넣고 끓인 밥 하나주세요."	"That's right. One bradioactive oiled rice with bismuth, please."
밥	건전지	없음	없음	끓기	6	1	"저의 여러 개의 목표를 짜릿하게 해줄 음식을 끓여 주세요."	"Make food that will thrill my multiple goals and die."	"저의 죽처럼 여러 알갱이인 인생을 짜릿하게 해줄 음식을 만들어 주세요."	"Please make me food that will thrill my life, which is various grains like my porridge."	"저의 끓인 밥처럼 여러 알갱이인 인생을 건전지처럼 짜릿하게 해줄 음식을 만들어 주세요."	"Please make food that will thrill your life like a battery, which is like my bradioactive oiled rice."
밥	건전지	없음	없음	끓기	6	1	"저희 집의 전선이 끊어졌는데 묽고 붙일 수 있는 게 없을까요..?"	"The wires in my house are cut off, so is there anything that can be attached and watery?"	"죽처럼 작은 알갱이인 전지로 이으면 좋을 것 같긴 한데..."	"I think it'd be good to connect them with small particles like porridge..."	"그럼 좋죠, 건전지와 끓인 밥 주세요."	"That would be great, I'd like a battery and bradioactive oiled rice."
밥	건전지	없음	없음	끓기	6	1	"에너지를 채우고 싶다면 죽을 한 번 먹어봐"	"If you want to get energized, try porridge"	"죽처럼 작은 알갱이로 에너지를 채울 수 있다면 좋을 것 같아요."	"It would be nice if I could fill my energy with small grains like porridge."	"네, 끓인 밥과 건전지요."	"Yes, bradioactive oiled rice and batteries."
밥	건전지	없음	없음	끓기	6	1	"AA 죽 주세요"	"AA, please give me porridge	"AA 전지 죽 주세요."	"AA battery porridge, please."	"그거 맞아요. 끓인 건전지 밥 주시면 돼요."	"That's right. You can give me bradioactive oiled battery rice."
밥	건전지	없음	없음	끓기	6	1	"묽은 건전지 덮밥... 제 눈으로 확인해 봐야겠어요."	"A bowl of rice with a thin battery..." I must check with my own eyes."	"확인해 보게 건전지 죽 하나 주세요."	"Please give me a battery porridge to check."	"맞아요. 건전지와 끓인 밥 주시면 돼요."	"That's right. You can give me a battery and bradioactive oiled rice."
밥	외계 식물	없음	없음	끓기	6	1	"옆 행성에서 자라는 식물을 넣은 죽 하나 주세요."	"Give me a porridge with plants growing on the next planet."	"좋아요. 하지만 꼭 옆 행성에서 자라는 식물로 죽에 넣어 주세요."	"Okay, but make sure you put it in porridge with plants that grow on the next planet."	"네, 외계 식물을 넣고 끓인 밥 하나 주세요."	"Yes, I'd like a bradioactive oiled rice with alien plants."
밥	외계 식물	없음	없음	끓기	6	1	"제가 고기를 먹지 않지만, 고기 맛 식물은 없나요? 있다면 죽에 넣어주세요."	"I don't eat meat, but do you have any meat-flavored plants? If there is, put it in the porridge."	"있다면 죽 맛 식물로 주세요."	"If you have, I'd like a bamboo-flavored plant."	"네, 그거 맞아요. 외계식물 그리고 끓인 밥"	"Yes, that's right. An alien plant and bradioactive oiled rice"
밥	외계 식물	없음	없음	끓기	6	1	"비건 죽 하나 주세요."	"Give me a vegan porridge."	"네, 야채 죽 하나 주세요."	"Yes, one vegetable porridge, please."	"끓인 외계 식물 밥 하나 주세요."	"One bradioactive oiled alien plant rice, please."
밥	외계 식물	없음	없음	끓기	6	1	"죽 위에 풀만 올리는 건 좀 이상한가요?"	"Is it a little strange to just put grass on the porridge?"	"이상하면 어때요? 제 입에 들어가는건데요."	"What if it's weird? It's in my mouth."	"그러니까 외계식물을 넣고 끓인 밥 주세요."	"So please give me rice bradioactive oiled with alien plants."
밥	외계 식물	없음	없음	끓기	6	1	"풀을 빵에 넣어 먹어도 봤고, 죽에도… 올려 먹으면?"	"I've seen grass in bread, and I've seen porridge... What if you put it on top of it"	"너무 궁금해요. 죽에 풀을 올려 먹으면 무슨 맛일지..."	"I'm so curious. I don't know what it'll taste like if you put grass on porridge..."	"끓인 밥과 외계식물 조합을 느끼고 싶어요."	"I want to feel the combination of bradioactive oiled rice and alien plants."
빵	스티커	없음	없음	끓기	6	1	"와이파이 있으신가요? 잠시 빌려써도 될까요? 눅눅한 스티커 빵 하나 주문할게요."	"Do you have Wi-Fi?" Can I borrow it for a while? I'd like to order a soggy sticker bread."	"뜨거운 물에 끓인 스티커 빵 하나 주문할 테니, 조금이라도 안 될까요?"	"I'll order a sticker bread bradioactive oiled in hot water, so can I have a little?"	"잠시만이면 돼요! 끓인 스티커 빵 하나 주문할게요."	"Just a moment! I'd like to order a steamed sticker bread."
빵	스티커	없음	없음	끓기	6	1	"눅눅한 샌드위치 하나요. 접착력이 강하게요."	"One soggy sandwich, please. It's very strong."	"얇고 접착력이 강한 삶은 샌드위치 하나요."	"One thin, sticky bradioactive oiled sandwich."	"스티커를 넣고 끓인 샌드위치 하나요."	"One sandwich bradioactive oiled with stickers, please."
빵	스티커	없음	없음	끓기	6	1	"눅눅한 빵과 스티커가 같이 있으면 맛이 이상해요. 하지만 중독되는 맛이에요."	"It tastes weird with soggy bread and stickers. But it's an addictive taste."	"중독되는 그 맛.. 스티커를 넣고 끓인 빵 이상하죠."	"The taste that makes you addicted... The bread bradioactive oiled with stickers is weird."	"스티커를 넣고 끓인 빵은 저의 최애 음식입니다."	"Bread bradioactive oiled with stickers is my favorite food."
빵	스티커	없음	없음	끓기	6	1	"접착제처럼 찐득하고 눅눅한 빵 하나 주세요."	"Give me one sticky, soggy bread like glue."	"얇고 찐득한 종이와 삶은 빵"	"Thin and sticky paper and bradioactive oiled bread"	"스티커처럼 찐득하고, 푹신한 빵을 끓여주세요."	"Cook me sticky, fluffy bread like a sticker."
빵	스티커	없음	없음	끓기	6	1	"요나하 치위드샌 커티스 한눅눅"	"Eno Hciwdnas Rekcits Yggos"	"요나하 샌드위치 스티커 눅눅한"	"Eno Sandwich Sticker Soggy"	"하나요 빵 스티커 눅눅한"	"One Bread Sticker Soggy"
빵	방부제	없음	없음	끓기	6	1	"썩지 않는 눅눅한 빵 하나요."	"One soggy bread that doesn't rot."	"썩지 않게만 해준다면 삶은 빵을 오래 먹을 수 있어요!"	"If you don't let it rot, you can eat bradioactive oiled bread for a long time!"	"끓인 방부제를 넣어 빵을 오래 먹을 수 있게 해주세요."	"Please add bread with bread and eat bread for a long time."
빵	방부제	없음	없음	끓기	6	1	"고대 이집트에선 왕족과 귀족들의 젖은 빵을 방부제로 관리 하시던 거 아시나요...."	"Did you know that in ancient Egypt, wet bread from royalty and aristocrats was managed as a preservative..."	"제 음식도 왕족과 귀족처럼 관리해주세요."	"Please manage my food like royalty and aristocracy."	"제 끓인 빵도 방부제를 넣어 관리해주세요."	"Please take care of my bradioactive oiled bread with preservatives."
빵	방부제	없음	없음	끓기	6	1	"젖은 포르말린 샌드위치을 드셔보셨나요? 정말 맛있어요!"	"Have you tried the wet formalin sandwich? It's really good!"	"삶은 포르말린 샌드위치를 드셔보셨나요? 오래 먹을 수 있어요!"	"Have you tried bradioactive oiled formalin sandwiches? You can eat it for a long time!"	"끓인 방부제 샌드위치를 드셔보셨나요? 정말 맛있어요!"	"Have you tried bradioactive oiled preservative sandwiches? It's really good!"
빵	방부제	없음	없음	끓기	6	1	"오래 먹을 수 있는 눅눅한 샌드위치 주세요."	"Please give me a soggy sandwich that I can eat for a long time."	"썩지 않는 삶은 샌드위치 주세요."	"I'd like a hard-bradioactive oiled sandwich that doesn't rot."	"방부제를 넣고 끓인 샌드위치를 주세요."	"I'd like a sandwich bradioactive oiled with preservatives."
빵	방부제	없음	없음	끓기	6	1	"그냥 젖은 방부제 빵 주세요."	"Just give me some preservative bread."	"작은 여러 알갱이가 들어간 삶은 방부제 빵 주세요."	"I'd like a bradioactive oiled preservative bread with several small grains."	"오래 먹을 수 있게 방부제를 넣은 빵을 끓여 주세요."	"Please bradioactive oil bread with preservatives for a long time."
빵	똥	없음	없음	끓기	6	1	"말랑하게 생긴 웃고있는 묽은 똥에 대해 들어보셨나요? 히히..."	"Have you ever heard of a soft-looking, smiling, thin poop? "Hehe..."	"어제 화장실에서 봤던 푹신한 똥 하나 삶아 주세요."	"Please bradioactive oil a soft poop that I saw in the bathroom yesterday."	"빵처럼 푹신한 똥 하나 끓여 주세요."	"Please make me a soft poop like bread
빵	똥	없음	없음	끓기	6	1	"땡큐 베리 풉…눅빵"	"Thank you very poop… soggy bread"	"삶은 빵을 만들어 주신다면 땡큐 베리 풉.."	"If you make bradioactive oiled bread, thank you very pub.."	"끓인 똥을 넣은 빵을 만들어 주시면 너무 감사하죠"	"I'd appreciate it if you could make bread with bradioactive oiled poop."
빵	똥	없음	없음	끓기	6	1	"어제 화장실에 봤던 묽고 말랑하게 생긴거 주세요."	"Please give me the watery and soft-looking one I saw in the bathroom yesterday."	"아직도 생생해요. 푹신하고 고소한 삶은 똥이였어요."	"It's still vivid. The soft and savory life was poop."	"끓인 빵처럼 눅눅한 똥이었어요."	"It was soggy poop like bradioactive oiled bread."
빵	똥	없음	없음	끓기	6	2	"풉.. 묽은 샌드위치 냄새를 맡고 두 개의 행성을 빠르게 달려왔어요."	"Pub... I smelled a thin sandwich and ran fast across two planets."	"삶은 빵처럼 고소한 똥 냄새를 맡고 두 개의 행성을 빠르게 달려왔어요."	"I smelled the savory poop like bradioactive oiled bread and ran fast across two planets."	"맞아요. 똥을 넣고 끓인 빵 2개 주세요."	"That's right. Give me two breads bradioactive oiled with poop."
빵	똥	없음	없음	끓기	6	2	"똥똥 눅빵"	"PoopPoop SoggyBread."	"더블 똥 삶은 빵"	"Double poop bradioactive oiled bread"	"끓인 똥 빵 2개"	"Two steamed bun breads"
빵	종이	없음	없음	끓기	6	1	"젖은 페이퍼 빵이 들어간 음식은 몇 달러 페이퍼?"	"How many dollars is the food with wet paper bread?"	"종이가 들어간 삶은 빵은 얼마일까요?"	"How much is the bradioactive oiled bread with paper in it?"	"저렴한 종이 빵 하나 끓여 주세요."	"Please bradioactive oil one piece of paper bread."
빵	종이	없음	없음	끓기	6	1	"젖은 파피루스 샌드위치 하나요."	"One wet papyrus sandwich, please."	"고대 이집트에서 파피루스의 줄기로 만든 그 종이를 넣은 삶은 샌드위치 하나 주세요."	"I'd like a bradioactive oiled sandwich with that paper made of papyrus stalks in ancient Egypt."	"네, 끓인 종이면 좋으니 샌드위치에 넣어주세요."	"Yes, I'd like a bradioactive oiled bell, so please put it in a sandwich."
빵	종이	없음	없음	끓기	6	1	"요나하 빵 이종 은젖"	"Eno Daerd Repap Yggos"	"요나하 빵 종이 젖은"	"Eno Bread Paper Soggy"	"하나요 빵 종이 젖은"	"One.Bread.Paper Soggy"
빵	종이	없음	없음	끓기	6	1	"젖은 종이 샌드위치.. 제 눈으로 확인해 봐야겠어요"	"A wet paper sandwich.. I'll have to check with my own eyes."	"신기하죠. 삶은 종이 샌드위치이라는 음식이 실제로 있는 줄 몰랐어요."	"It's amazing. I didn't know there was actually a food called a bradioactive oiled paper sandwich."	"네, 종이 그리고 끓인 샌드위치. 주세요."	"Yes, paper and a bradioactive oiled sandwich, please."
빵	종이	없음	없음	끓기	6	1	"젖은 종이를 고기에 넣어 먹어도 봤고, 빵에 넣어 먹으면?"	"Have you seen wet paper in meat or bread?"	"고기는 제 입맛이 아니였어요. 삶은 빵에 넣어 먹으면 어떤 맛이 느껴질지 궁금해요."	"Meat was not my cup of tea. I wonder how it will taste if you put it in bradioactive oiled bread."	"제 끓인 빵은 종이 제외하고 다 빼주세요."	"Please take out all my bradioactive oiled bread except paper."
빵	너트	없음	없음	끓기	6	1	"너트와 돈을 넣은 눅눅한 샌드위치요. 아, 돈은 빼주세요."	"A soggy sandwich with nuts and money. Oh, take out the money."	"너트는 먹을 수 있지만 돈은 도저히 못 먹겠어요."	"I can eat nuts, but I can't afford it."	"네, 너트를 넣고 끓인 샌드위치 주세요."	"Yes, I'd like a sandwich bradioactive oiled with nuts."
빵	너트	없음	없음	끓기	6	1	"ㅈㅇ ㅇㄴㅅ ㅃ ㅎㄴㅇ"	"S.N.B.O"	"젖은 ㅇㄴㅅ 빵 하나요."	"Soggy.N.Bread.One"	"젖은 암나사 빵 하나요"	"Soggy.Nut.Bread.One"
빵	너트	없음	없음	끓기	6	1	"젖은 암나사 샌드위치 하나요"	"One wet female screw sandwich, please"	"젖은 너트 샌드위치 하나요."	"One wet nut sandwich, please."	"네, 너트 그리고 샌드위치. 끓여 주세요."	"Yes, nuts and sandwiches. Bradioactive oil them, please."
빵	너트	없음	없음	끓기	6	2	"젖은 쇠 빵 냄새를 맡고 두 개의 행성을 빠르게 달려왔어요."	"I smelled the wet metal bread and ran fast across two planets."	"삶은 고철을 넣은 빵 냄새를 맡고 두 개의 행성을 빠르게 달려왔어요."	"I smelled bread with scrap metal and ran fast across two planets."	"맞아요. 너트를 넣은 빵 2개 끓여서 주세요."	"That's right. Please bradioactive oil two breads with nuts."
빵	너트	없음	없음	끓기	6	1	"저기 저 눅눅한 너트 샌드위치가 맛있을 것 같아요."	"That soggy nut sandwich over there looks delicious."	"맛있죠, 너트를 넣고 삶은 샌드위치."	"Delicious, a sandwich bradioactive oiled with nuts."	"맞아요. 너트 그리고 끓인 샌드위치."	"That's right. Nut and bradioactive oiled sandwiches."
